,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ICP-USD,0.49718297587905,11.0
1,SNX-USD,ENJ-USD,7.17160275420797,6.0
2,ICP-USD,ENJ-USD,14.419353894103653,20.0
3,ICP-USD,UMA-USD,2.4296368041079934,6.0
4,ETC-USD,LINK-USD,2.807759310266474,7.0
5,ETC-USD,ZRX-USD,82.15063353022157,13.0
6,ETC-USD,YFI-USD,0.002782169874478984,10.0
7,ETC-USD,UMA-USD,9.18832845444705,22.0
8,ETC-USD,DOGE-USD,251.38519261768516,4.0
9,ETC-USD,UNI-USD,3.5978531785552548,9.0
10,LINK-USD,ZRX-USD,29.258252653236266,10.0
11,LINK-USD,COMP-USD,0.18267970692885147,13.0
12,LINK-USD,UNI-USD,1.2813814556646725,7.0
13,ATOM-USD,ENJ-USD,31.84757529664419,6.0
14,BCH-USD,RUNE-USD,100.11330519524638,18.0
15,BCH-USD,BTC-USD,0.004212054709139108,7.0
16,BCH-USD,DOGE-USD,1594.006621273702,11.0
17,ENJ-USD,NEAR-USD,0.20793074040004278,9.0
18,ENJ-USD,ADA-USD,0.8976646831564074,13.0
19,ENJ-USD,UMA-USD,0.16842270571537765,13.0
20,ENJ-USD,CRV-USD,0.39542066248039776,9.0
21,ENJ-USD,MATIC-USD,0.37179938091693165,18.0
22,ZRX-USD,YFI-USD,3.3862131215511386e-05,8.0
23,ZRX-USD,SUSHI-USD,0.2607680604962792,21.0
24,ZRX-USD,UNI-USD,0.04378984737006307,6.0
25,ZRX-USD,MATIC-USD,0.24688547748488449,24.0
26,YFI-USD,DOGE-USD,90344.95083722338,9.0
27,COMP-USD,DOGE-USD,489.9480452409543,16.0
28,COMP-USD,UNI-USD,7.013014971580547,10.0
29,EOS-USD,ETH-USD,0.00047461212701741304,12.0
30,NEAR-USD,ADA-USD,4.317078348163062,9.0
31,NEAR-USD,MATIC-USD,1.7880180995826191,18.0
32,SUSHI-USD,UMA-USD,0.4287894496647124,12.0
33,UMA-USD,CRV-USD,2.346929726155888,8.0
34,CRV-USD,MATIC-USD,0.9401646996677433,23.0
35,DOGE-USD,UNI-USD,0.014311415586116844,9.0
